name,id,nametype,recclass,fall,year,reclat,reclong,GeoLocation,mass (kg)
Bulls Run,5163,1,238,0,1964.0,,,,2.25
Clohars,5383,1,319,0,1822.0,,,,0.048600000000000004
Jalanash,12068,1,462,0,1990.0,,,,0.7
Jemlapur,12079,1,333,0,1901.0,,,,0.45
Cumulus Hills 04075,32531,1,431,1,2003.0,,,,0.0096
Maria Linden,15418,1,319,0,1925.0,,,,0.114
Natal,16923,1,459,0,1973.0,,,,0.0014
Niger (L6),16974,1,333,0,1967.0,,,,0.0033
Niger (LL6),16975,1,378,0,1967.0,,,,0.0033
Dominion Range 03239,32591,1,333,1,2002.0,,,,0.0695
Dominion Range 03240,32592,1,374,1,2002.0,,,,0.2909
Talampaya,23791,1,107,0,1995.0,,,,1.421
Udaipur,24099,1,135,0,1976.0,,,,2.0
Dominion Range 03241,32593,1,378,1,2002.0,,,,0.095
Dominion Range 03242,32594,1,184,1,2002.0,,,,0.06720000000000001
Dominion Range 03243,32595,1,184,1,2002.0,,,,0.1369
Dominion Range 03244,32596,1,374,1,2002.0,,,,0.09129999999999999
Adelaide,377,1,13,1,1972.0,,,,2.031
Allan Hills 03541,35731,1,184,1,2003.0,,,,1.0535
Allan Hills 03542,35732,1,333,1,2003.0,,,,0.020399999999999998
Cacilandia,5191,1,191,1,2003.0,,,,13.278078548601512
Cumulus Hills 04045,32511,1,333,1,2003.0,,,,0.0316
Cumulus Hills 04046,32512,1,327,1,2003.0,,,,0.009
Cumulus Hills 04047,32513,1,374,1,2003.0,,,,0.0495
Cumulus Hills 04048,32514,1,462,1,2003.0,,,,0.0303
Dominion Range 03245,32597,1,374,1,2002.0,,,,0.26239999999999997
Cumulus Hills 04049,32515,1,110,1,2003.0,,,,0.0902
Cumulus Hills 04050,46008,1,191,1,2004.0,,,,3.908
Cumulus Hills 04051,46009,1,184,1,2004.0,,,,1.7899
Cumulus Hills 04052,46010,1,374,1,2004.0,,,,1.5112
Cumulus Hills 04053,46011,1,327,1,2004.0,,,,1.3106
Cumulus Hills 04054,46012,1,378,1,2004.0,,,,1.1136
Cumulus Hills 04055,46013,1,378,1,2004.0,,,,1.715
Cumulus Hills 04056,46014,1,333,1,2004.0,,,,2.2916
Arabella,2321,1,204,1,1955.0,,,,1.0
Arabian Peninsula 001,44870,1,68,1,2006.0,,,,0.145
Arabian Peninsula 002,44871,1,103,1,2006.0,,,,0.054
Arabian Peninsula 003,44872,1,68,1,2006.0,,,,0.056
Arabian Peninsula 004,44873,1,68,1,2006.0,,,,0.031
Arabian Peninsula 005,44874,1,108,1,2005.0,,,,0.146
Arabian Peninsula 006,44875,1,108,1,2005.0,,,,0.067
Asarco Mexicana,2344,1,228,1,2003.0,,,,13.278078548601512
Cumulus Hills 04057,46015,1,333,1,2004.0,,,,2.4032
Cumulus Hills 04058,32516,1,378,1,2003.0,,,,1.0061
Cumulus Hills 04059,46016,1,327,1,2004.0,,,,1.858
Cumulus Hills 04060,46017,1,374,1,2004.0,,,,0.3207
Cumulus Hills 04061,32517,1,431,1,2003.0,,,,8.465
Cumulus Hills 04062,32518,1,431,1,2003.0,,,,15.315
Cumulus Hills 04063,32519,1,431,1,2003.0,,,,6.1883
Cumulus Hills 04064,32520,1,431,1,2003.0,,,,19.195
Cumulus Hills 04065,32521,1,431,1,2003.0,,,,5.738
Cumulus Hills 04066,32522,1,431,1,2003.0,,,,5.877
Cumulus Hills 04067,32523,1,431,1,2003.0,,,,7.5619
Cumulus Hills 04068,32524,1,431,1,2003.0,,,,20.425
Cumulus Hills 04069,32525,1,431,1,2003.0,,,,44.7
Cumulus Hills 04070,32526,1,431,1,2003.0,,,,3.5158
Bench Crater,5013,1,10,1,1969.0,,,,13.278078548601512
Cumulus Hills 04071,32527,1,431,1,2003.0,,,,2.1101
Bolivia,5100,1,206,1,1896.0,,,,21.25
Cumulus Hills 04072,32528,1,431,1,2003.0,,,,2.3129
California,5199,1,212,1,2003.0,,,,13.278078548601512
Cumulus Hills 04073,32529,1,431,1,2003.0,,,,0.9282
Cochabamba,5389,1,44,1,2003.0,,,,0.085
Cook,5420,1,461,1,2003.0,,,,13.278078548601512
Cratheús (1950),5467,1,220,1,1909.0,,,,0.367
Cumulus Hills 04074,32530,1,431,1,2003.0,,,,0.3257
Cumulus Hills 04001,32489,1,327,1,2003.0,,,,0.4062
Cumulus Hills 04002,32490,1,378,1,2003.0,,,,0.21969999999999998
Cumulus Hills 04003,32491,1,378,1,2003.0,,,,0.4613
Cumulus Hills 04004,45987,1,378,1,2004.0,,,,0.49310000000000004
